                                                             1 Nov 2025 12:09:54
Satellite-GASRATS


      Time (UTCG)            x (nT)       y (nT)       z (nT)     Magnitude (nT)
1 Aug 2026 19:39:00.000    -14520.11    -17093.05      -391.90          22431.22
1 Aug 2026 19:40:00.000    -13214.89    -17602.81     -1985.74          22100.58
1 Aug 2026 19:41:00.000    -11925.09    -17960.91     -3248.79          21802.67
1 Aug 2026 19:42:00.000    -10748.01    -18265.85     -4230.69          21611.57
1 Aug 2026 19:43:00.000     -9742.32    -18625.24     -5021.05          21610.72
1 Aug 2026 19:44:00.000     -8915.42    -19137.81     -5737.73          21878.34
1 Aug 2026 19:45:00.000     -8221.05    -19876.07     -6508.82          22472.40
1 Aug 2026 19:46:00.000     -7566.79    -20874.10     -7452.97          23420.74
1 Aug 2026 19:47:00.000     -6828.36    -22122.18     -8662.46          24719.54
1 Aug 2026 19:48:00.000     -5867.07    -23568.02    -10191.41          26338.92
1 Aug 2026 19:49:00.000     -4547.17    -25122.77    -12049.66          28231.63
1 Aug 2026 19:50:00.000     -2751.44    -26670.11    -14201.78          30340.66
1 Aug 2026 19:51:00.000      -394.04    -28076.99    -16570.48          32604.50
1 Aug 2026 19:52:00.000      2570.07    -29205.13    -19043.62          34960.03
1 Aug 2026 19:53:00.000      6139.60    -29922.21    -21483.90          37344.22
1 Aug 2026 19:54:00.000     10265.54    -30111.86    -23739.90          39694.94
1 Aug 2026 19:55:00.000     14853.32    -29681.94    -25657.10          41951.47
1 Aug 2026 19:56:00.000     19767.78    -28571.14    -27087.88          44054.83
1 Aug 2026 19:57:00.000     24840.12    -26754.39    -27900.37          45948.44
1 Aug 2026 19:58:00.000     29876.70    -24247.31    -27986.64          47579.42
1 Aug 2026 19:59:00.000     34670.31    -21109.07    -27270.61          48901.02
1 Aug 2026 20:00:00.000     39013.97    -17442.23    -25715.29          49875.83
1 Aug 2026 20:01:00.000     42716.67    -13387.98    -23328.03          50479.20
1 Aug 2026 20:02:00.000     45618.73     -9116.07    -20162.05          50701.87
1 Aug 2026 20:03:00.000     47604.05     -4810.42    -16313.06          50550.98
1 Aug 2026 20:04:00.000     48606.66      -652.96    -11911.13          50049.06
1 Aug 2026 20:05:00.000     48610.56      3191.16     -7109.47          49231.24
1 Aug 2026 20:06:00.000     47643.92      6584.30     -2072.21          48141.35
1 Aug 2026 20:07:00.000     45769.78      9421.65      3036.44          46827.98
1 Aug 2026 20:08:00.000     43076.17     11631.55      8060.57          45341.17
1 Aug 2026 20:09:00.000     39667.49     13172.06     12858.11          43730.35
1 Aug 2026 20:10:00.000     35658.33     14025.69     17303.80          42043.52
1 Aug 2026 20:11:00.000     31169.79     14193.99     21290.22          40327.39
1 Aug 2026 20:12:00.000     26327.90     13693.28     24727.84          38628.11
1 Aug 2026 20:13:00.000     21263.18     12552.43     27544.66          36991.82
1 Aug 2026 20:14:00.000     16110.26     10812.73     29686.51          35464.70
1 Aug 2026 20:15:00.000     11006.23      8529.27     31118.39          34091.64
1 Aug 2026 20:16:00.000      6086.74      5772.34     31826.75          32913.68
1 Aug 2026 20:17:00.000      1479.64      2627.25     31821.76          31964.30
1 Aug 2026 20:18:00.000     -2702.83      -808.55     31138.04          31265.58
1 Aug 2026 20:19:00.000     -6371.32     -4431.33     29832.65          30825.60
1 Aug 2026 20:20:00.000     -9463.98     -8138.48     27980.19          30638.10
1 Aug 2026 20:21:00.000    -11947.18    -11835.64     25665.71          30684.63
1 Aug 2026 20:22:00.000    -13812.20    -15441.77     22977.35          30938.39
1 Aug 2026 20:23:00.000    -15069.58    -18891.16     20000.37          31368.50
1 Aug 2026 20:24:00.000    -15742.94    -22132.73     16813.48          31943.57
1 Aug 2026 20:25:00.000    -15864.03    -25127.86     13487.40          32634.13
1 Aug 2026 20:26:00.000    -15469.42    -27847.76     10084.68          33414.09
1 Aug 2026 20:27:00.000    -14598.78    -30271.45      6659.91          34261.34
1 Aug 2026 20:28:00.000    -13293.57    -32384.16      3259.67          35157.90
1 Aug 2026 20:29:00.000    -11595.76    -34176.02       -77.69          36089.72
1 Aug 2026 20:30:00.000     -9545.98    -35640.59     -3321.82          37046.08
1 Aug 2026 20:31:00.000     -7181.55    -36772.97     -6449.23          38018.66
1 Aug 2026 20:32:00.000     -4534.93    -37567.76     -9440.79          39000.40
1 Aug 2026 20:33:00.000     -1633.19    -38017.14    -12277.97          39983.99
1 Aug 2026 20:34:00.000      1500.88    -38109.65    -14938.42          40960.40
1 Aug 2026 20:35:00.000      4845.73    -37830.12    -17391.85          41917.49
1 Aug 2026 20:36:00.000      8376.59    -37161.28    -19597.57          42839.15
1 Aug 2026 20:37:00.000     12060.37    -36086.70    -21504.54          43705.23
1 Aug 2026 20:38:00.000     15851.47    -34594.75    -23054.48          44492.41
1 Aug 2026 20:39:00.000     19689.69    -32682.44    -24187.36          45175.81
1 Aug 2026 20:40:00.000     23500.74    -30358.02    -24847.74          45730.78
1 Aug 2026 20:41:00.000     27198.77    -27642.12    -24990.20          46134.26
1 Aug 2026 20:42:00.000     30689.70    -24567.59    -24582.89          46365.31
1 Aug 2026 20:43:00.000     33874.29    -21179.24    -23609.07          46404.92
1 Aug 2026 20:44:00.000     36650.83    -17534.55    -22067.91          46235.66
1 Aug 2026 20:45:00.000     38918.24    -13705.28    -19975.93          45842.14
1 Aug 2026 20:46:00.000     40581.31     -9778.95    -17369.61          45212.54
1 Aug 2026 20:47:00.000     41558.54     -5858.13    -14308.33          44341.39
1 Aug 2026 20:48:00.000     41791.85     -2055.94    -10875.52          43232.66
1 Aug 2026 20:49:00.000     41255.36      1512.60     -7176.01          41902.12
1 Aug 2026 20:50:00.000     39960.12      4741.44     -3328.74          40377.87
1 Aug 2026 20:51:00.000     37952.39      7543.75       543.93          38698.68
1 Aug 2026 20:52:00.000     35305.32      9857.92      4327.32          36910.30
1 Aug 2026 20:53:00.000     32106.59     11647.70      7922.29          35060.87
1 Aug 2026 20:54:00.000     28446.32     12896.77     11247.59          33196.81
1 Aug 2026 20:55:00.000     24409.54     13600.38     14236.06          31360.19
1 Aug 2026 20:56:00.000     20076.01     13757.84     16827.12          29588.45
1 Aug 2026 20:57:00.000     15527.08     13369.54     18959.51          27915.91
1 Aug 2026 20:58:00.000     10856.48     12440.30     20568.32          26375.75
1 Aug 2026 20:59:00.000      6179.81     10988.11     21589.48          25000.69
1 Aug 2026 21:00:00.000      1637.19      9055.11     21971.41          23820.54
1 Aug 2026 21:01:00.000     -2614.36      6715.68     21690.80          22856.64
1 Aug 2026 21:02:00.000     -6418.57      4077.25     20766.88          22115.27
1 Aug 2026 21:03:00.000     -9643.14      1271.53     19267.96          21583.82
1 Aug 2026 21:04:00.000    -12201.38     -1562.60     17306.59          21232.84
1 Aug 2026 21:05:00.000    -14064.49     -4299.43     15023.21          21023.60
1 Aug 2026 21:06:00.000    -15260.21     -6843.66     12563.28          20917.59
1 Aug 2026 21:07:00.000    -15858.43     -9138.65     10055.01          20883.20
1 Aug 2026 21:08:00.000    -15949.37    -11163.95      7595.22          20897.45
1 Aug 2026 21:09:00.000    -15622.68    -12924.12      5246.81          20943.50
1 Aug 2026 21:10:00.000    -14954.61    -14434.87      3046.70          21006.86
1 Aug 2026 21:11:00.000    -14006.11    -15712.58      1018.57          21073.53
1 Aug 2026 21:12:00.000    -12829.54    -16771.21      -816.54          21131.43
1 Aug 2026 21:13:00.000    -11478.12    -17626.25     -2436.80          21174.75
1 Aug 2026 21:14:00.000    -10011.74    -18302.21     -3824.43          21209.24
1 Aug 2026 21:15:00.000     -8495.29    -18838.40     -4975.38          21255.82
1 Aug 2026 21:16:00.000     -6990.03    -19289.46     -5908.77          21350.81
1 Aug 2026 21:17:00.000     -5541.28    -19719.34     -6671.12          21542.10
1 Aug 2026 21:18:00.000     -4167.23    -20190.93     -7333.37          21881.91
1 Aug 2026 21:19:00.000     -2852.53    -20754.24     -7981.17          22418.18
1 Aug 2026 21:20:00.000     -1548.06    -21436.39     -8701.45          23186.86
1 Aug 2026 21:21:00.000      -176.66    -22235.03     -9568.34          24207.04
1 Aug 2026 21:22:00.000      1356.61    -23115.83    -10631.02          25479.41
1 Aug 2026 21:23:00.000      3151.44    -24013.69    -11904.92          26987.33
1 Aug 2026 21:24:00.000      5297.97    -24837.57    -13367.05          28699.33
1 Aug 2026 21:25:00.000      7862.91    -25478.46    -14955.77          30572.08
1 Aug 2026 21:26:00.000     10877.75    -25820.20    -16574.90          32553.58
1 Aug 2026 21:27:00.000     14330.99    -25751.78    -18101.90          34586.27
1 Aug 2026 21:28:00.000     18165.22    -25179.73    -19398.96          36610.29
1 Aug 2026 21:29:00.000     22279.67    -24038.47    -20325.65          38566.35
1 Aug 2026 21:30:00.000     26537.08    -22297.55    -20751.35          40398.21
1 Aug 2026 21:31:00.000     30773.66    -19965.06    -20565.89          42054.46
1 Aug 2026 21:32:00.000     34810.39    -17087.52    -19687.76          43489.70
1 Aug 2026 21:33:00.000     38464.41    -13747.00    -18069.18          44665.27
1 Aug 2026 21:34:00.000     41559.42    -10056.71    -15698.62          45549.64
1 Aug 2026 21:35:00.000     43934.80     -6155.64    -12601.39          46118.91
1 Aug 2026 21:36:00.000     45453.62     -2202.89     -8839.16          46357.47
1 Aug 2026 21:37:00.000     46010.10      1628.69     -4509.17          46259.21
1 Aug 2026 21:38:00.000     45537.22      5160.06       257.01          45829.37
1 Aug 2026 21:39:00.000     44014.46      8215.89      5296.31          45086.86
1 Aug 2026 21:40:00.000     41474.49     10637.03     10420.35          44066.58
1 Aug 2026 21:41:00.000     38006.36     12294.50     15426.32          42820.67
1 Aug 2026 21:42:00.000     33752.43     13102.55     20112.71          41417.68
1 Aug 2026 21:43:00.000     28897.47     13027.34     24297.14          39939.03
1 Aug 2026 21:44:00.000     23650.81     12088.17     27832.51          38472.50
1 Aug 2026 21:45:00.000     18225.41     10350.64     30616.97          37103.92
1 Aug 2026 21:46:00.000     12819.19      7913.59     32595.40          35908.45
1 Aug 2026 21:47:00.000      7602.97      4894.13     33753.20          34943.33
1 Aug 2026 21:48:00.000      2716.98      1415.23     34106.08          34243.38
1 Aug 2026 21:49:00.000     -1726.14     -2401.46     33690.25          33819.81
1 Aug 2026 21:50:00.000     -5635.87     -6437.47     32556.62          33662.11
1 Aug 2026 21:51:00.000     -8939.96    -10576.75     30769.29          33742.25
1 Aug 2026 21:52:00.000    -11584.50    -14705.39     28406.53          34020.29
1 Aug 2026 21:53:00.000    -13536.87    -18713.94     25561.04          34450.33
1 Aug 2026 21:54:00.000    -14789.20    -22502.43     22337.25          34986.18
1 Aug 2026 21:55:00.000    -15359.56    -25986.23     18845.39          35585.80
1 Aug 2026 21:56:00.000    -15289.43    -29100.75     15193.83          36214.27
1 Aug 2026 21:57:00.000    -14638.04    -31803.38     11481.92          36845.11
1 Aug 2026 21:58:00.000    -13475.01    -34072.48      7795.03          37460.28
1 Aug 2026 21:59:00.000    -11873.10    -35904.24      4202.43          38049.25
1 Aug 2026 22:00:00.000     -9902.44    -37308.21       757.71          38607.44
1 Aug 2026 22:01:00.000     -7626.69    -38302.64     -2499.15          39134.44
1 Aug 2026 22:02:00.000     -5101.51    -38910.13     -5538.75          39632.08
1 Aug 2026 22:03:00.000     -2374.95    -39154.30     -8339.24          40102.90
1 Aug 2026 22:04:00.000       510.95    -39057.94    -10883.88          40549.26
1 Aug 2026 22:05:00.000      3518.28    -38642.64    -13159.63          40973.26
1 Aug 2026 22:06:00.000      6612.62    -37929.33    -15156.79          41377.40
1 Aug 2026 22:07:00.000      9763.71    -36938.34    -16868.76          41765.13
1 Aug 2026 22:08:00.000     12946.92    -35688.08    -18290.91          42140.47
1 Aug 2026 22:09:00.000     16143.43    -34192.37    -19417.82          42506.24
1 Aug 2026 22:10:00.000     19337.59    -32457.87    -20239.30          42861.23
1 Aug 2026 22:11:00.000     22510.86    -30483.40    -20737.14          43197.28
1 Aug 2026 22:12:00.000     25634.26    -28262.85    -20884.56          43497.91
1 Aug 2026 22:13:00.000     28662.27    -25791.33    -20649.47          43739.22
1 Aug 2026 22:14:00.000     31531.23    -23072.54    -20001.21          43893.15
1 Aug 2026 22:15:00.000     34163.03    -20124.72    -18918.07          43931.88
1 Aug 2026 22:16:00.000     36472.70    -16983.26    -17393.28          43831.67
1 Aug 2026 22:17:00.000     38376.84    -13699.63    -15437.54          43574.98
1 Aug 2026 22:18:00.000     39800.13    -10338.23    -13078.53          43150.63
1 Aug 2026 22:19:00.000     40679.02     -6972.83    -10359.14          42552.50
1 Aug 2026 22:20:00.000     40963.77     -3683.82     -7336.10          41778.22
1 Aug 2026 22:21:00.000     40620.65      -555.79     -4079.74          40828.79
1 Aug 2026 22:22:00.000     39635.62      2325.63      -673.81          39709.51
1 Aug 2026 22:23:00.000     38018.70      4878.84      2786.39          38431.61
1 Aug 2026 22:24:00.000     35806.85      7032.86      6198.83          37013.74
1 Aug 2026 22:25:00.000     33063.24      8733.89      9462.27          35482.29
1 Aug 2026 22:26:00.000     29871.86      9949.69     12484.35          33870.10
1 Aug 2026 22:27:00.000     26328.64     10670.39     15187.99          32213.81
1 Aug 2026 22:28:00.000     22531.88     10905.31     17513.96          30550.78
1 Aug 2026 22:29:00.000     18575.11     10677.49     19419.41          28916.38
1 Aug 2026 22:30:00.000     14544.24     10017.91     20873.85          27342.48
1 Aug 2026 22:31:00.000     10519.28      8961.62     21854.79          25857.25
1 Aug 2026 22:32:00.000      6578.79      7546.90     22345.62          24485.97
1 Aug 2026 22:33:00.000      2804.31      5817.18     22336.95          23251.73
1 Aug 2026 22:34:00.000      -718.27      3824.32     21831.26          22175.33
1 Aug 2026 22:35:00.000     -3902.11      1630.97     20849.12          21273.74
1 Aug 2026 22:36:00.000     -6667.37      -690.11     19434.08          20557.57
1 Aug 2026 22:37:00.000     -8951.62     -3060.71     17653.57          20028.67
1 Aug 2026 22:38:00.000    -10718.78     -5405.14     15594.04          19679.48
1 Aug 2026 22:39:00.000    -11963.30     -7658.96     13351.06          19494.39
1 Aug 2026 22:40:00.000    -12707.38     -9775.44     11017.02          19452.80
1 Aug 2026 22:41:00.000    -12992.28    -11727.18      8670.31          19532.04
1 Aug 2026 22:42:00.000    -12867.00    -13502.31      6369.64          19708.99
1 Aug 2026 22:43:00.000    -12378.57    -15097.16      4154.67          19960.33
1 Aug 2026 22:44:00.000    -11567.50    -16508.78      2051.86          20262.21
1 Aug 2026 22:45:00.000    -10468.91    -17730.47        82.09          20590.63
1 Aug 2026 22:46:00.000     -9117.62    -18752.08     -1733.52          20923.11
1 Aug 2026 22:47:00.000     -7553.85    -19564.36     -3372.04          21241.37
1 Aug 2026 22:48:00.000     -5826.15    -20165.13     -4811.52          21534.33
1 Aug 2026 22:49:00.000     -3990.22    -20564.40     -6036.58          21800.38
1 Aug 2026 22:50:00.000     -2103.72    -20786.58     -7044.25          22048.33
1 Aug 2026 22:51:00.000      -218.70    -20869.07     -7847.98          22297.01
1 Aug 2026 22:52:00.000      1626.58    -20857.63     -8478.64          22573.74
1 Aug 2026 22:53:00.000      3414.60    -20799.34     -8982.03          22911.77
1 Aug 2026 22:54:00.000      5153.01    -20734.36     -9413.22          23346.87
1 Aug 2026 22:55:00.000      6875.34    -20687.43     -9828.05          23912.98
1 Aug 2026 22:56:00.000      8636.85    -20660.81    -10273.09          24637.39
1 Aug 2026 22:57:00.000     10505.70    -20630.28    -10775.66          25536.11
1 Aug 2026 22:58:00.000     12550.44    -20545.54    -11335.98          26610.85
1 Aug 2026 22:59:00.000     14826.29    -20335.56    -11923.33          27848.15
1 Aug 2026 23:00:00.000     17362.94    -19917.81    -12476.92          29220.95
1 Aug 2026 23:01:00.000     20156.22    -19209.59    -12911.00          30691.62
1 Aug 2026 23:02:00.000     23164.27    -18139.38    -13122.92          32215.40
1 Aug 2026 23:03:00.000     26308.00    -16656.74    -13002.52          33743.49
1 Aug 2026 23:04:00.000     29474.51    -14739.95    -12442.18          35225.28
1 Aug 2026 23:05:00.000     32523.17    -12401.51    -11347.07          36610.25
1 Aug 2026 23:06:00.000     35293.91     -9690.89     -9645.49          37849.82
1 Aug 2026 23:07:00.000     37617.85     -6694.23     -7298.43          38899.65
1 Aug 2026 23:08:00.000     39329.79     -3530.59     -4307.24          39722.16
1 Aug 2026 23:09:00.000     40281.22      -344.71      -717.82          40289.09
1 Aug 2026 23:10:00.000     40352.34      2702.55      3379.14          40583.66
1 Aug 2026 23:11:00.000     39461.84      5444.73      7851.86          40602.14
1 Aug 2026 23:12:00.000     37574.50      7720.02     12534.11          40355.24
1 Aug 2026 23:13:00.000     34706.53      9381.07     17234.21          39869.36
1 Aug 2026 23:14:00.000     30929.04     10304.45     21746.25          39187.84
1 Aug 2026 23:15:00.000     26368.15     10400.15     25863.76          38371.56
1 Aug 2026 23:16:00.000     21200.18      9620.03     29395.28          37497.67
1 Aug 2026 23:17:00.000     15640.38      7963.52     32180.21          36655.22
1 Aug 2026 23:18:00.000      9925.86      5478.40     34101.67          35936.88
1 Aug 2026 23:19:00.000      4295.77      2255.88     35093.58          35427.42
1 Aug 2026 23:20:00.000     -1027.14     -1579.04     35140.57          35191.02
1 Aug 2026 23:21:00.000     -5849.66     -5879.01     34271.83          35261.02
1 Aug 2026 23:22:00.000    -10014.80    -10484.75     32552.13          35635.20
1 Aug 2026 23:23:00.000    -13403.46    -15232.80     30073.33          36278.04
1 Aug 2026 23:24:00.000    -15934.00    -19960.97     26948.30          37128.75
1 Aug 2026 23:25:00.000    -17562.23    -24513.30     23306.85          38112.24
1 Aug 2026 23:26:00.000    -18282.30    -28745.98     19291.71          39150.27
1 Aug 2026 23:27:00.000    -18126.95    -32534.68     15052.74          40170.60
1 Aug 2026 23:28:00.000    -17165.30    -35781.90     10738.77          41113.42
1 Aug 2026 23:29:00.000    -15496.73    -38422.34      6488.33          41934.75
1 Aug 2026 23:30:00.000    -13241.51    -40424.97      2421.34          42607.26
1 Aug 2026 23:31:00.000    -10529.80    -41791.37     -1366.59          43119.18
1 Aug 2026 23:32:00.000     -7490.86    -42551.25     -4806.73          43472.13
1 Aug 2026 23:33:00.000     -4243.78    -42755.89     -7856.76          43678.42
1 Aug 2026 23:34:00.000      -890.50    -42470.59    -10498.05          43757.89
1 Aug 2026 23:35:00.000      2488.36    -41766.47    -12731.12          43734.55
1 Aug 2026 23:36:00.000      5834.35    -40712.68    -14569.58          43632.95
1 Aug 2026 23:37:00.000      9108.53    -39370.36    -16033.70          43474.94
1 Aug 2026 23:38:00.000     12286.10    -37789.65    -17144.84          43277.61
1 Aug 2026 23:39:00.000     15350.28    -36010.05    -17922.10          43052.95
1 Aug 2026 23:40:00.000     18287.81    -34063.18    -18381.74          42809.26
1 Aug 2026 23:41:00.000     21087.24    -31975.58    -18538.24          42553.21
1 Aug 2026 23:42:00.000     23739.50    -29769.71    -18405.10          42291.22
1 Aug 2026 23:43:00.000     26238.25    -27462.79    -17993.97          42028.97
1 Aug 2026 23:44:00.000     28577.81    -25065.03    -17312.10          41769.08
1 Aug 2026 23:45:00.000     30747.94    -22579.76    -16360.05          41508.23
1 Aug 2026 23:46:00.000     32727.69    -20007.03    -15131.95          41235.41
1 Aug 2026 23:47:00.000     34481.65    -17349.98    -13619.38          40932.79
1 Aug 2026 23:48:00.000     35961.35    -14621.51    -11817.66          40579.12
1 Aug 2026 23:49:00.000     37111.73    -11848.13     -9731.78          40154.28
1 Aug 2026 23:50:00.000     37879.60     -9069.71     -7379.23          39643.12
1 Aug 2026 23:51:00.000     38220.49     -6336.14     -4788.98          39036.99
1 Aug 2026 23:52:00.000     38101.10     -3703.22     -1998.44          38332.77
1 Aug 2026 23:53:00.000     37498.41     -1230.18       948.61          37530.57
1 Aug 2026 23:54:00.000     36398.17      1021.00      4001.27          36631.67
1 Aug 2026 23:55:00.000     34796.24      2986.05      7098.25          35638.18
1 Aug 2026 23:56:00.000     32703.46      4601.14     10165.06          34554.53
1 Aug 2026 23:57:00.000     30152.29      5808.75     13114.83          33390.13
1 Aug 2026 23:58:00.000     27201.04      6565.60     15854.21          32161.46
1 Aug 2026 23:59:00.000     23932.86      6849.82     18293.31          30892.51
2 Aug 2026 00:00:00.000     20448.83      6664.46     20356.07          29613.16
